crime_score,lighting_score,traffic_score,crowd_score,time_of_day,day_of_week,road_condition,safety_score
11,12,30,3,8,1,47,64
49,17,89,16,13,5,91,51
98,88,7,7,22,4,70,60
10,94,78,83,11,1,57,63
31,16,2,3,9,6,2,54
90,99,51,78,23,1,40,41
33,37,5,66,8,5,79,63
20,47,42,76,18,4,21,50
32,90,90,81,4,6,26,48
33,90,74,24,3,2,65,66
98,53,56,18,23,3,73,45
49,38,76,9,5,3,78,56
80,78,25,19,5,5,22,49
99,93,21,100,21,4,84,48
100,78,4,94,20,3,64,44
56,60,20,90,13,2,73,53
11,66,21,43,9,7,69,74
68,83,41,53,5,7,27,48
5,82,96,82,5,6,28,54
7,95,28,58,6,7,66,77
24,39,50,92,5,7,25,44
34,17,76,69,3,2,2,32
23,33,18,10,14,7,53,66
91,67,40,23,15,4,96,56
38,35,59,74,7,1,94,54
49,98,51,31,13,2,69,66
21,81,33,15,14,7,95,82
35,16,25,77,20,7,45,46
72,43,37,53,14,3,12,36
67,20,0,50,7,7,38,44
15,54,71,67,12,2,63,58
58,20,85,43,18,3,88,45
73,72,2,79,19,2,11,43
28,47,64,1,23,6,100,71
73,68,10,2,20,6,53,61
10,70,9,77,7,2,35,65
87,57,95,13,12,7,3,30
36,96,77,53,11,3,53,60
59,20,41,66,2,2,2,31
89,58,85,10,8,5,19,34
75,71,11,11,5,5,15,51
49,41,57,86,22,5,76,47
81,81,55,44,18,4,1,37
55,27,96,26,1,3,89,48
10,75,74,88,17,2,14,50
46,10,19,39,15,7,42,48
26,47,64,85,11,2,41,47
59,5,51,96,6,5,33,28
82,46,50,11,19,5,43,44
40,42,20,47,4,2,44,55
44,55,4,42,21,4,62,63
87,82,72,64,17,6,84,47
91,73,4,4,9,7,29,52
36,49,57,18,16,3,91,66
47,26,35,21,21,6,82,59
91,47,93,42,19,5,17,25
94,45,28,70,1,4,11,28
94,31,95,79,6,2,34,19
96,63,40,98,5,7,49,33
87,73,91,43,2,6,25,33
86,68,18,21,1,2,6,43
38,14,61,76,3,3,14,34
1,41,87,45,19,1,38,56
13,80,42,64,3,3,14,59
34,72,14,65,22,6,92,71
51,2,35,99,13,7,72,39
64,62,64,93,6,6,87,47
86,2,56,93,10,4,15,15
3,91,53,77,0,4,58,69
91,51,68,33,7,7,7,29
94,66,100,22,10,2,68,40
60,58,22,86,13,7,27,43
60,63,44,50,10,3,43,49
12,58,81,52,14,2,22,52
16,48,10,9,17,6,46,71
46,32,97,86,18,3,86,42
77,43,48,80,4,2,84,43
99,27,3,32,6,2,33,37
23,65,91,12,4,2,53,61
100,87,8,40,20,1,81,56
95,92,29,45,19,2,86,56
17,19,88,24,22,5,35,49
62,9,15,43,12,5,60,46
69,0,10,24,17,5,13,37
62,27,58,66,20,1,55,39
71,58,13,18,20,7,50,56
47,70,50,30,5,4,25,53
25,41,73,93,16,5,51,46
75,40,69,43,7,2,98,48
100,4,37,65,4,6,77,31
47,17,5,55,22,3,58,52
77,49,58,10,9,4,100,56
82,31,91,15,22,5,58,37
61,77,67,20,3,7,31,50
55,26,82,12,21,1,0,35
63,50,89,63,11,3,27,34
39,76,98,28,9,7,93,63
10,19,33,41,21,1,20,54
70,74,42,3,13,7,19,51
23,51,56,10,16,1,47,63
79,43,97,61,20,2,9,23
99,80,85,38,21,2,52,38
55,12,73,85,17,6,34,29
88,78,40,14,14,1,89,59
85,95,28,36,10,5,47,53
8,73,82,42,16,5,52,64
35,25,43,4,11,2,40,55
73,2,31,69,22,2,16,27
81,52,74,95,6,6,83,37
25,64,76,90,23,2,27,46
26,54,30,3,4,3,5,59
88,87,63,84,20,3,65,42
4,47,48,74,4,6,14,53
100,90,30,41,8,1,14,40
21,43,80,76,11,6,61,51
61,98,22,75,7,4,9,49
79,51,82,58,21,4,82,42
51,67,20,65,14,2,39,53
8,68,98,55,18,3,45,57
6,17,66,22,22,6,27,54
46,3,62,100,23,3,43,31
84,81,88,94,13,1,69,38
77,29,75,71,14,4,93,39
32,96,38,75,10,4,98,72
97,21,2,43,10,4,12,31
49,2,3,66,9,4,32,42
77,28,29,44,16,5,6,33
13,7,65,31,17,3,50,53
59,5,5,35,22,7,65,50
5,94,93,62,6,4,28,60
37,8,68,25,10,1,29,42
32,40,76,41,1,2,72,55
78,29,36,31,16,7,95,51
36,6,60,36,3,1,32,42
7,66,94,95,19,7,69,57
74,62,67,92,23,7,17,30
90,67,58,41,12,1,94,50
42,86,15,54,4,6,15,57
23,68,29,41,21,2,33,63
57,22,98,53,19,6,19,28
56,44,81,99,10,7,3,26
45,99,38,73,12,4,18,53
69,61,1,75,9,7,60,52
61,87,11,14,0,3,12,58
66,35,25,37,3,4,14,41
68,38,20,42,6,4,68,52
100,100,95,27,3,4,57,43
2,85,94,95,2,5,38,56
99,33,93,5,17,3,10,24
52,87,86,10,1,2,30,53
98,9,75,6,7,2,51,30
79,76,47,68,16,5,94,53
38,100,33,26,13,5,11,62
47,12,74,94,21,3,13,26
64,29,72,95,12,3,16,25
16,17,44,64,23,1,14,45
37,9,37,54,14,6,93,56
94,32,79,66,6,6,70,30
5,68,40,24,12,7,26,68
80,33,83,84,17,1,75,33
15,89,66,3,18,6,11,65
47,5,93,72,12,3,66,35
13,44,68,20,4,2,47,61
89,74,30,80,17,1,79,47
69,25,87,77,17,6,27,25
10,94,4,89,15,7,34,69
35,22,93,52,23,1,13,35
56,93,88,68,1,4,95,57
99,58,64,16,17,4,30,36
40,55,23,71,19,5,24,50
7,19,3,100,14,5,80,62
89,26,50,84,13,5,19,22
71,98,51,86,4,3,26,43
42,33,80,16,19,7,81,56
41,56,73,63,1,4,75,53
74,16,28,75,14,3,78,41
89,77,41,57,6,4,15,37
97,54,86,79,14,1,24,22
78,65,89,57,22,7,53,38
35,46,83,57,9,6,76,53
5,84,5,80,10,2,78,78
30,94,78,93,2,1,56,55
60,78,30,12,3,2,39,59
17,63,72,53,8,5,30,55
19,100,49,71,10,7,96,76
83,29,33,41,23,1,37,37
20,92,9,1,19,4,59,83
18,2,29,80,16,5,86,56
42,6,2,27,1,5,68,58
88,91,89,41,5,6,53,43
8,24,52,92,3,4,14,44
93,82,52,39,12,2,52,45
51,8,20,84,21,5,75,46
83,29,64,89,3,6,17,21
37,88,80,58,16,4,44,55
86,99,75,53,18,4,43,43
57,33,47,41,20,6,33,43
90,97,72,84,13,4,45,38
37,98,61,36,12,1,43,63
95,58,51,60,11,3,3,27
20,98,59,99,17,2,44,59
47,22,22,3,14,5,72,61
86,15,3,7,23,3,17,39
44,14,52,41,12,6,16,39
70,28,85,5,16,3,100,51
9,29,42,77,7,3,26,50
26,85,63,11,14,4,14,61
95,30,57,58,18,2,77,36
80,54,74,32,3,1,32,37
96,91,57,79,21,6,60,41
73,36,53,50,10,3,17,33
68,29,24,6,1,3,56,52
38,79,52,68,16,2,21,51
34,18,20,15,1,5,71,62
12,58,24,32,20,7,40,68
29,34,33,9,3,3,40,60
17,53,58,81,16,4,70,59
23,64,38,34,6,4,93,74
15,15,41,23,13,1,22,53
81,34,96,29,9,7,42,32
45,4,62,81,9,6,30,32
11,65,16,95,7,6,40,61
35,54,25,27,4,6,46,62
76,84,25,0,19,4,79,66
48,14,33,92,19,6,41,38
17,26,86,54,2,1,67,52
89,74,85,27,23,2,90,49
20,54,12,32,21,3,94,77
14,70,68,3,15,4,53,70
54,1,95,95,21,2,92,34
93,54,24,47,2,7,77,48
94,50,51,71,11,4,42,32
84,21,30,35,22,2,61,41
50,70,38,19,0,4,8,52
36,59,92,74,7,6,70,50
6,33,6,7,18,5,60,75
100,62,66,28,23,5,32,35
80,74,28,47,0,1,18,43
24,8,25,20,20,1,13,50
20,34,60,51,14,3,15,47
86,20,34,46,16,7,85,43
15,62,40,75,18,1,30,57
42,64,90,69,5,2,76,52
90,50,62,72,15,4,82,39
31,25,93,33,6,5,13,39
18,46,93,84,23,7,87,55
29,62,65,40,0,7,29,54
20,30,59,53,16,2,77,59
20,33,46,75,1,6,83,59
42,94,50,53,0,7,31,57
30,33,78,92,14,3,6,33
87,30,29,59,10,6,31,33
76,32,63,57,11,5,95,45
68,99,38,72,6,1,29,49
9,79,88,73,16,1,19,53
91,68,37,92,23,1,31,33
75,53,46,32,11,4,42,45
75,59,88,92,14,4,70,36
55,32,65,79,17,1,42,37
2,25,23,25,0,5,36,64
55,90,29,31,8,4,86,70
30,7,77,62,17,1,44,40
93,47,21,12,16,4,33,43
95,77,67,17,10,1,77,50
25,80,45,15,0,6,56,71
78,63,1,93,10,1,37,42
19,22,50,15,5,1,74,64
6,12,89,90,17,3,53,44
29,48,98,65,20,3,34,43
34,16,19,37,12,3,91,63
94,20,58,62,20,2,42,26
19,89,38,94,23,3,49,62
65,14,93,73,8,5,99,38
15,96,60,74,14,5,46,64
21,12,36,100,22,3,3,36
58,26,20,32,20,7,98,60
4,39,94,87,0,4,41,48
1,63,55,62,1,6,64,68
84,42,6,73,20,7,50,41
34,17,87,4,23,1,38,47
22,57,50,49,17,3,24,55
33,91,38,2,7,5,67,76
53,51,28,2,19,5,41,58
72,36,28,74,18,4,34,37
95,7,100,52,4,1,29,16
48,66,19,83,7,2,25,48
17,49,97,26,15,7,70,60
55,80,53,6,19,6,59,62
14,74,59,46,23,5,25,60
45,11,65,12,19,6,60,49
31,11,10,67,9,5,13,44
77,5,58,49,3,2,96,41
75,92,44,61,23,4,83,57
56,40,6,17,2,5,51,58
30,73,65,20,23,2,55,64
10,41,47,43,2,6,96,71
24,42,35,91,2,7,34,49
33,89,1,16,19,1,32,72
65,79,54,2,2,3,61,60
47,66,92,41,2,5,31,45
26,67,31,73,11,1,54,61
99,94,100,62,13,5,93,43
75,3,33,80,19,5,71,35
28,63,84,25,22,2,27,53
62,88,56,74,7,2,52,50
88,74,97,44,6,2,60,39
11,25,71,27,3,7,77,62
4,58,48,31,3,3,33,65
84,85,15,87,14,3,6,38
94,87,89,17,6,2,67,47
30,7,13,97,14,4,13,38
95,86,17,78,9,5,57,46
61,100,39,4,4,5,5,56
35,23,80,87,1,1,43,38
50,70,69,96,15,2,20,38
90,7,26,33,8,2,64,38
27,18,18,17,16,2,66,63
4,60,91,12,17,3,67,69
26,94,27,30,4,2,52,73
19,81,98,79,15,7,95,63
82,66,46,8,1,3,31,47
42,7,28,30,10,7,55,51
100,37,4,20,3,4,63,46
66,27,30,72,23,3,37,38
7,89,24,22,17,3,82,85
48,12,22,56,2,5,92,55
57,25,49,41,8,1,23,39
99,54,98,56,10,3,90,36
87,72,87,13,17,6,22,38
84,75,90,32,1,2,67,45
35,18,40,30,21,4,62,55
59,66,16,13,10,2,1,51
20,14,93,56,9,5,72,49
56,14,91,87,4,4,63,32
10,92,21,19,5,1,79,85
75,11,76,5,12,5,72,42
72,5,38,29,10,1,31,36
25,65,97,4,19,3,61,63
79,13,83,62,2,1,33,24
66,22,22,42,0,2,10,37
46,82,80,29,2,7,95,65
18,50,60,14,12,1,12,56
10,96,79,19,11,2,45,70
6,59,27,58,19,2,16,60
21,35,19,63,12,3,1,49
25,96,92,13,6,1,41,64
13,67,65,61,0,4,42,59
48,82,64,100,9,4,10,39
91,8,3,50,9,3,91,45
61,3,67,38,9,6,76,42
61,76,20,69,16,2,6,45
29,67,10,76,1,5,39,60
24,16,20,52,6,1,73,60
23,41,56,70,19,3,23,47
41,76,96,77,7,2,49,47
31,50,37,20,4,5,18,56
84,54,84,79,14,6,18,25
85,93,1,94,18,3,42,47
44,75,14,72,20,6,68,63
25,94,81,81,9,4,68,61
0,94,8,56,13,4,20,73
44,3,14,0,17,6,47,55
64,65,58,37,3,5,9,41
98,0,36,77,18,4,23,18
2,15,27,65,23,1,85,66
50,63,41,65,3,1,10,44
54,99,68,26,15,1,54,60
2,45,94,56,11,3,63,58
100,41,51,79,8,7,89,36
78,51,15,58,16,6,47,45
79,92,90,95,6,7,47,36
87,3,41,17,21,4,6,27
0,44,48,86,11,3,40,57
23,26,55,73,14,6,66,52
81,84,94,6,2,4,28,43
84,96,99,65,3,3,37,37
85,96,56,76,9,7,39,42
59,84,34,81,21,5,2,42
41,27,20,81,20,5,7,39
29,54,85,29,20,7,79,61
1,60,90,39,16,1,34,59
22,68,55,26,8,4,72,69
78,69,94,22,21,5,12,35
20,98,70,46,2,4,63,69
36,89,25,19,3,4,50,70
98,48,99,80,15,6,33,20
95,60,58,0,19,1,98,54
1,81,79,49,17,4,90,75
0,89,25,39,15,1,95,87
44,71,66,85,20,4,33,45
21,84,8,64,1,3,51,70
23,42,97,17,11,3,32,51
1,62,54,69,17,2,32,60
68,89,75,86,18,5,35,40
77,55,83,27,2,4,72,46
65,71,4,65,14,2,17,48
92,27,90,77,18,2,36,20
23,64,73,36,9,6,52,60
50,42,47,55,9,1,31,44
38,26,61,94,14,1,47,40
39,94,78,23,23,3,41,60
79,88,47,5,21,3,52,56
48,95,68,55,20,5,64,59
13,78,11,23,6,4,84,83
12,54,80,9,21,6,3,54
47,40,42,59,11,1,65,52
17,25,46,73,21,7,38,50
51,93,99,62,15,1,75,54
6,30,81,12,1,4,94,69
81,3,98,2,10,7,89,39
88,10,55,84,21,6,83,31
1,50,1,66,20,7,52,70
71,45,21,5,9,2,53,54
33,50,86,7,14,4,5,47
47,36,75,81,22,1,48,39
96,18,65,81,13,6,76,28
98,64,40,33,6,4,61,45
15,83,81,62,5,1,88,68
52,73,54,67,22,7,44,50
81,11,0,81,8,4,37,33
12,84,60,95,13,4,78,66
